Comune;Provincia;Nome titolare struttura vendita;Indirizzo;Centro commerciale (SI/NO);Settoremercato non alimentare;Superficie alimentare in mq;Superficie non alimentare in mq;Superficie totale in mq;Latitudine;Longitudine;Identificatore PDV
VANZAGHELLO;CITTA' METROPOLITANA DI MILANO;BENNET;Corso Italia  27;SI;;3500;4500;8000;45.5993088873395;8.7967744180748;11882
VANZAGHELLO;CITTA' METROPOLITANA DI MILANO;SUPER CENTRO CALZATURE;Corso Italia 20;NO;ABBIGLIAMENTO E SCARPE;0;2360;2360;45.597079728001376;8.793594642233513;3189
BARANZATE;CITTA' METROPOLITANA DI MILANO;DECATHLON ITALIA SRL;Via Milano;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;3295;3295;45.53165184099686;9.105771814606628;9888
BARANZATE;CITTA' METROPOLITANA DI MILANO;ESSELUNGA SPA;Via Milano;NO;;2040;1360;3400;45.5307622896654;9.105685315769474;9889
BARANZATE;CITTA' METROPOLITANA DI MILANO;LEROY MERLIN UNO SPA;Via Milano;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;9000;9000;45.532655823482344;9.105906250170337;11682
ALBANO SANT'ALESSANDRO;BERGAMO;AWG OUTLETS BERGAMO S.R.L.;Via Tonale, 101;SI;;2658;13342;16000;45.6843392737691;9.787244465059143;5327
ALMENNO SAN SALVATORE;BERGAMO;MIGROSS SPA;Via Pitentino, 45;SI;;566;1254;1820;45.751090418921514;9.595936600168178;1921
ALZANO LOMBARDO;BERGAMO;LEONARDO SPA;Via Pesenti;SI;;2000;8250;10250;45.73183615445906;9.733474213528218;13320
AMBIVERE;BERGAMO;DOSS SPA;Via Mazzini;SI;;700;5800;6500;45.71875944169523;9.555380466246945;11467
ANTEGNATE;BERGAMO;INIZIATIVA 13 SRL;Ss 11;SI;;9000;14000;23000;45.482687056202174;9.782460709231193;9485
AZZANO SAN PAOLO;BERGAMO;FINSER S.P.A.;C.So Cavour;SI;;5000;44000;49000;45.662274732791396;9.69492090501319;12426
BERGAMO;BERGAMO;ESSELUNGA SPA;Via Corridoni;NO;;2302;1349;3651;45.70756833243287;9.689766269781806;4501
BERGAMO;BERGAMO;GRUPPO COIN S.P.A.;Via Tiraboschi 53;NO;ABBIGLIAMENTO E SCARPE;1147;2803;3950;45.69323000597307;9.669042933935327;13349
BERGAMO;BERGAMO;GRUPPO COIN S.P.A.;V. Zambonate, 11;NO;ABBIGLIAMENTO E SCARPE;50;4400;4450;45.69250853492535;9.66678891610491;14034
BERGAMO;BERGAMO;S.P.A. AUCHAN;V. Carducci, 55;SI;;5000;6651;11651;45.687711895017344;9.648637038429898;4502
BOTTANUCO;BERGAMO;IL GIGATE S.P.A.;V.Le Papa Giovanni, 43;SI;;3500;11200;14700;45.64231874307591;9.51166421878445;12876
BREMBATE;BERGAMO;IPER MONTEBELLO SPA;Via V. Veneto,68-S.P. 184;SI;;4350;5124;9474;45.6070972003599;9.54554512530094;6772
BRUSAPORTO;BERGAMO;BARCELLA ARREDAMENTI SAS;Via Bagnatica, 13;NO;MOBILI E ACCESSORI CASE ARREDO;0;2350;2350;45.66860502391162;9.76765671336987;870
CAPRIATE SAN GERVASIO;BERGAMO;THORUS LEOLANDIA SPA;Via V. Veneto;SI;;1000;4000;5000;45.60705378397724;9.540481476165763;13321
CARAVAGGIO;BERGAMO;PADANA SUPERIORE S.P.A;Via Treviglio Snc;SI;;610;2406;3016;45.50339174487237;9.625662053708016;4014
CASTELLI CALEPIO;BERGAMO;MIGROSS SPA;V. Dei Mille, 109;NO;;1171;781;1952;45.638676252904034;9.894042501674305;4180
CISANO BERGAMASCO;BERGAMO;RUGIADA;Via Milano 7;SI;;1500;3500;5000;45.740880974328796;9.45727732381552;2198
CISERANO;BERGAMO;TECNOCOVERING SRL;Corso Europa;SI;;1700;650;2350;45.59262750060756;9.606532226902573;11974
CORTENOVA;BERGAMO;PEDRONIIMOBILI SRL;Via Trieste Fraz. S. Maria Del Sasso;SI;;5835;23241;29076;45.52757122053238;9.820028739966014;3291
CURNO;BERGAMO;CISALFA SPORT SPA;Via Lega Lombarda 1;NO;ABBIGLIAMENTO E SCARPE;0;2288;2288;45.684444355112305;9.611986830216463;2469
CURNO;BERGAMO;ESSELUNGA SPA;Via Bergamo, 48;SI;;1907;2169;4076;45.69193960549569;9.615602149830385;10472
CURNO;BERGAMO;EUROCOMMERCIAL PROPERTIES ITALIA SRL;Via E. Fermi, 1;SI;;5313;18657;23970;45.682845653187165;9.610680961712097;8734
CURNO;BERGAMO;LEROY MERLIN ITALIA SRL;Via Rota, 60;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;10099;10099;45.680675393119145;9.60506644235691;2501
CURNO;BERGAMO;MEGASTORE DEL IDEA SRL;Via Bergamo 23/A;NO;MOBILI E ACCESSORI CASE ARREDO;0;1962;1962;45.69073001164018;9.624136648018702;14314
CURNO;BERGAMO;SELFITALIA SRL;Via Bergamo, 36;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;4788;4788;45.69103144793846;9.620694054654168;2466
GORLE;BERGAMO;ITALFRUTTA S.P.A.;V. Roma, 8;NO;;2170;1090;3260;45.691834176059395;9.714894060061662;17
GRUMELLO DEL MONTE;BERGAMO;ZERBIMARK SPA;V. Roma, 94;NO;;1219;880;2099;45.63734578645445;9.878027050520593;968
MAPELLO;BERGAMO;VIRGILIO SPA;Via Strada Regia 4;SI;;4500;10490;14990;45.712919952151225;9.563039459100331;9880
MOZZO;BERGAMO;GRAN MERCATO DEI COLLI;Via Dell'Industria, 2;SI;;2504;2080;4584;45.70737933743042;9.605443576019345;6202
NEMBRO;BERGAMO;ESSELUNGA SPA;Via Cascina Colombaia N? 3;SI;;1960;2315;4275;45.73587333577454;9.74789829282526;12281
ORIO AL SERIO;BERGAMO;FINSER S.P.A.;Via Portico 71;SI;;13688;35616;49304;45.664222318787495;9.69492681205113;984
PALADINA;BERGAMO;L'ARTIGIANA DEL MOBILE SRL;Via Roma, 43;NO;MOBILI E ACCESSORI CASE ARREDO;0;2300;2300;45.73347115629595;9.609619788468532;1815
ROGNO;BERGAMO;ARREDAMENTI SRL;Via M. Grappa, 1;NO;MOBILI E ACCESSORI CASE ARREDO;0;2596;2596;45.86259741140535;10.14682998433195;1934
ROGNO;BERGAMO;LA VALLE CENTRO COMMERCIALE SRL;Via Veneto, 20;SI;;1318;4496;5814;45.8624397399853;10.143129799987575;1915
ROMANO DI LOMBARDIA;BERGAMO;ZERBIMARK SPA- BENNET SPA;Strada Statale Soncinese 498, Vi 18;SI;;4000;17950;21950;45.53270307112609;9.758649851936887;770
SAN PELLEGRINO TERME;BERGAMO;SVILUPPO SAN PELLEGRINO SRL;Via F.Lli Calvi;SI;;2500;4530;7030;45.842290416632835;9.665883834250858;10886
SARNICO;BERGAMO;ITALMARK  S.P.A.;V. Predore, 27;NO;;1000;670;1670;45.67552262108761;9.97724829347227;6395
SERIATE;BERGAMO;IPER MONTEBELLO SPA;Via Brusaporto, 41;SI;;6520;11702;18222;45.679458070230226;9.745001912139385;3647
SERIATE;BERGAMO;LEROY MERLIN ITALIA SRL;Via Cassinone, Snc;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;10000;10000;45.6579203310639;9.739724298185369;3646
STEZZANO;BERGAMO;ALTACERRO S.R.L.;Via Guzzanica, 62,64;SI;;3058;18028;21086;45.649250725829354;9.632207997234847;10221
STEZZANO;BERGAMO;SEMERARO CASA & FAMIGLIA SPA;Via Boito, 4;NO;MOBILI E ACCESSORI CASE ARREDO;0;8937;8937;45.653762836035284;9.635711417248338;2324
TREVIGLIO;BERGAMO;SOCRATE RETAIL S.R.L.;Via Montegrappa, 31;SI;;2991;4590;7581;45.52041579650021;9.5819207124745;949
URGNANO;BERGAMO;CENTRO COMMERCIALE RAMONDA SPA;Via Provinciale, 1263;NO;ABBIGLIAMENTO E SCARPE;0;1800;1800;45.61143859606264;9.693635816998988;471
URGNANO;BERGAMO;EDIL COFFETTI S.R.L.;Via Don Fadini, 31;NO;;0;1800;1800;45.621306971924945;9.726248406100593;491
VERDELLO;BERGAMO;CENTRO COMMERCIALE;Viale Piemonte;SI;;1033;7629;8662;45.5915035377068;9.623626810626787;4134
BRESCIA;BRESCIA;ALPEDIL IMMOBILIARE SRL;C.So G.  Mameli, 19;NO;ABBIGLIAMENTO E SCARPE;2505;80;2585;45.54064506562588;10.218756376527711;625
BRESCIA;BRESCIA;BENNET SPA;Via Genova 76;SI;;2500;2800;5300;45.520814301108246;10.18559324204113;617
BRESCIA;BRESCIA;CARNEVALI SPA;Via Cefalonia 77;NO;ABBIGLIAMENTO E SCARPE;0;3420;3420;45.52433542707002;10.21775026535317;619
BRESCIA;BRESCIA;CISALFA SPORT SPA;Via Dalmazia 90;NO;;180;3419;3599;45.525863653011086;10.196955918551891;10598
BRESCIA;BRESCIA;ESSELUNGA;Via  Volta, 54;NO;;1300;1620;2920;45.512470648242186;10.22502165192093;621
BRESCIA;BRESCIA;ESSELUNGA SPA;Via Milano, 50;NO;;1710;1140;2850;45.54462539963757;10.194920613454304;622
BRESCIA;BRESCIA;FINSIBI SPAL;Via Dalmazia 90;NO;;0;6227;6227;45.52639977414861;10.196629871885234;10597
BRESCIA;BRESCIA;FRECCIA ROSSA SHOPPING CENTRE SRL;Viale Italia 31;SI;;1850;13122;14972;45.53550316078719;10.20829985449247;9486
BRESCIA;BRESCIA;GRUPPO COIN SPA;Corso Magenta, 2;NO;ABBIGLIAMENTO E SCARPE;249;4498;4747;45.53634097812414;10.222241117201696;624
BRESCIA;BRESCIA;ITALMARK SPA;Viale S. Eufemia, 108/E;SI;;4000;5178;9178;45.51689834272329;10.287757426133146;9478
BRESCIA;BRESCIA;LEROY MERLIN ITALIA SRL;Via Genova, 93;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;6500;6500;45.52118933099779;10.183509636762066;629
BRESCIA;BRESCIA;LONATI SPA;Viale S.Eufemia Angolo Via Serenissima;SI;;1000;13950;14950;45.518423974938464;10.283098694361462;13341
BRESCIA;BRESCIA;NUOVI ASSETTI URBANI SPA;Comparto A) Sannazzaro  (Area Ex Magazzini Generali) - Area Ricompresa Fra La Via Dalmazia, Via Salgari, Via Corsica E Via Don Bosco;SI;;4100;7500;11600;45.527669455576984;10.20018020660957;13340
BRESCIA;BRESCIA;SMA;Via Valcamonica, 17;SI;;2300;6037;8337;45.54589803914655;10.170221706699186;9479
BRESCIA;BRESCIA;SMA SPA;Via San Zeno, 76;NO;;1100;1472;2572;45.526607751346326;10.220577887924438;630
BRESCIA;BRESCIA;SOCIETA' COOPERATIVA DI CONSUMATORI COOP - LOMBARDIA ARL;Via Corsica, 204;NO;;2426;524;2950;45.52492919974619;10.199997845087173;620
CARPENEDOLO;BRESCIA;ITALMARK SPA;V. A. Pozzi;SI;;3500;2900;6400;45.35880048275802;10.433280807527563;5498
CASTEGNATO;BRESCIA;M.BUSINESS SRL;Via Tangenziale Ovest;NO;MOBILI E ACCESSORI CASE ARREDO;0;7000;7000;45.550449107321114;10.122636512036037;13468
CASTEL MELLA;BRESCIA;CONFORAMA ITALIA S.P.A;Via Colorne;NO;MOBILI E ACCESSORI CASE ARREDO;0;9500;9500;45.486765657431256;10.147948289515565;1048
CASTEL MELLA;BRESCIA;GOITO SUPERMERCATI SRL;Via Della Fornace - Loc. Colorne;NO;;1500;600;2100;45.48905414294235;10.149375158313367;1049
CASTENEDOLO;BRESCIA;IMMOBILTRADE SRL;Localit” Fascia D?Oro;SI;;0;14900;14900;45.45828875447748;10.323760997048963;11971
CASTENEDOLO;BRESCIA;SMA S.P.A.;Via Brescia N. 65-67;NO;;1990;1329;3319;45.4852040029398;10.279887919987734;6716
CHIARI;BRESCIA;GESTIONE CENTRI COMMERCIALI;Via Milano, 30;NO;;1808;700;2508;45.53328831293491;9.919968917434236;2919
CHIARI;BRESCIA;ITALMARK SPA;Via Brescia, 31;SI;;4000;7307;11307;45.54287766630201;9.942432993775261;2920
CONCESIO;BRESCIA;AUCHAN  SPA;Via Europa 8;SI;;4200;4645;8845;45.58750426776234;10.22711339726541;7246
CORTE FRANCA;BRESCIA;CENTRO FRANCIACORTA ISEO SPA;Via Roma, 78;SI;;980;8411;9391;45.6424400979325;10.012874893364243;2530
CORTE FRANCA;BRESCIA;ESSELUNGA SPA;Via Roma, 117;NO;;1550;1250;2800;45.64353336756806;10.01100560397403;2526
DARFO BOARIO TERME;BRESCIA;SERMARK SPA;Via Nazionale, 43;SI;;4979;13585;18564;45.87225430766524;10.15477502258629;3135
DESENZANO DEL GARDA;BRESCIA;ESSELUNGA S.P.A.;Via Mantova N.1;NO;;2807;1203;4010;45.45699848029917;10.52487750518488;13220
DESENZANO DEL GARDA;BRESCIA;IL MERCATONE DI DESENZANO SRL;Via Colombare Di Castiglione, 1;NO;MOBILI E ACCESSORI CASE ARREDO;0;10361;10361;45.44823648234274;10.521863089198844;8246
ERBUSCO;BRESCIA;POLICENTROITALIA 97;V.Rovato,44;SI;;2784;21716;24500;45.5801255137216;9.998738791610233;4350
ERBUSCO;BRESCIA;SEMERARO ITALIA SRL;Via Cantarane 4;NO;MOBILI E ACCESSORI CASE ARREDO;0;4000;4000;45.58007654002801;9.99615759834546;12947
ERBUSCO;BRESCIA;SEMERARO ITALIA SRL;Via Cantarane 4;NO;MOBILI E ACCESSORI CASE ARREDO;0;4148;4148;45.57993308292563;9.996968356443112;12946
GAVARDO;BRESCIA;BENNET S.P.A.;Via Bruni Conter 2;SI;;2000;9521;11521;45.57768594139252;10.442694849245923;10276
GHEDI;BRESCIA;IMMOBILIARE IL PONTE SPA;Localit? San Firmo;SI;;2800;8051;10851;45.39717982524917;10.267861661047924;10222
GHEDI;BRESCIA;MAXI DI  SRL;Via Per Isorella 6/F;SI;;2400;2064;4464;45.39557316450411;10.281507473684655;7255
GUSSAGO;BRESCIA;ITALMARK SPA;Via Richiedei, 59;SI;;1155;2231;3386;45.59097964369128;10.153011912008854;4191
ISEO;BRESCIA;ZERBIMARK SPA;Via Roma,94;NO;;1206;301;1507;45.64112653817736;10.010832259790138;6144
LENO;BRESCIA;ITALFRUTTA SPA;Via Brescia 1/A;NO;;1850;1650;3500;45.369753211019464;10.216107364568366;1877
LONATO;BRESCIA;CEDRO '99 SRL;Via Mantova N. 36;SI;;7000;21226;28226;45.42931163802309;10.51378920291673;2169
LONATO;BRESCIA;GUEMA MACCHINE SRL;Via Mapella, 2/4;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;2950;2950;45.46286354178343;10.504680570812138;2172
LONATO;BRESCIA;IPER MONTEBELLO SPA;Via Mantova, 38;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;3800;3800;45.4311680730648;10.513995104197551;13392
LUMEZZANE;BRESCIA;ARCADIA SRL;Via S. Nicola Da Tolentino, 25;SI;;0;4464;4464;45.6582873089644;10.240700885628902;4795
MAIRANO;BRESCIA;ITALMARK SPA;S.P.;SI;;0;8605;8605;45.44600576182212;10.098169458962246;13
MANERBIO;BRESCIA;CONSORZIO LE ARCATE;Via Cremona, 10;SI;;1500;2599;4099;45.345703352782564;10.13419517590855;2917
MAZZANO;BRESCIA;AUCHAN SPA - GALLERIE COMMERCIALE SPA;Via De Gasperi 6;SI;;5200;13669;18869;45.50150045556079;10.349555242536525;1093
MONIGA DEL GARDA;BRESCIA;SUPERM. ITALMARK;Via San Giovanni, 14;SI;;1200;688;1888;45.52440565484726;10.529329817395084;9483
MONTICHIARI;BRESCIA;ISOLA VERDE S.P.A.;S.P. Goitese, 236 - Via Levate;SI;;50;14850;14900;45.43689450261011;10.353547606751167;10223
NIARDO;BRESCIA;GRUPPO ESSE;Via  Brendibusio 21;NO;MOBILI E ACCESSORI CASE ARREDO;0;3300;3300;45.97953740853945;10.32263369124011;5894
ORZINUOVI;BRESCIA;IITALMARK  SPA;Via Adua, 35;SI;;1800;1607;3407;45.41067850015328;9.934007647131654;6245
ORZINUOVI;BRESCIA;METALMARK SRL;Via Einaudi, 3;SI;;4000;10141;14141;45.40912516122251;9.935379677496075;6246
ORZIVECCHI;BRESCIA;GESTIONE CENTRI COMMERCIALI SRL;Viale G. Tovini, 1;SI;;2500;2880;5380;45.42324102311914;9.969696660353438;4615
OSPITALETTO;BRESCIA;ITALMARK SPA;Via Padana Superiore;SI;;2700;5502;8202;45.55553876505679;10.090126832473372;9817
PALAZZOLO SULL'OGLIO;BRESCIA;EUROPA SRL;V.Le Europa 6;SI;;6560;6428;12988;45.58986331336518;9.893875116178325;2405
PALAZZOLO SULL'OGLIO;BRESCIA;ITALMARK SPA;Via Mons. Piccinelli;SI;;2900;3740;6640;45.58884998273141;9.890713921071967;2406
PISOGNE;BRESCIA;ITALFRUTTA SPA;Area Ex Palini;SI;;4000;8000;12000;45.80710915914476;10.107892881689914;5188
PISOGNE;BRESCIA;LANZINI ARREDAMENTI SNC;Via Provinciale, 18;NO;MOBILI E ACCESSORI CASE ARREDO;0;3000;3000;45.830503343631115;10.130113354860113;5189
PONCARALE;BRESCIA;ANCILLA SCALVINI SPA;Via S.S. 45 Bis 4;NO;MOBILI E ACCESSORI CASE ARREDO;0;6000;6000;45.461176318832635;10.205725476192095;2070
REZZATO;BRESCIA;BOTTI GIACOMO;Via Mazzini 53;NO;MOBILI E ACCESSORI CASE ARREDO;0;2853;2853;45.51345617851619;10.302724267914853;9544
REZZATO;BRESCIA;MAGAZZONE 2 S.R.L.;Via Breve;SI;;0;6100;6100;45.512830229460455;10.297371521438254;10887
REZZATO;BRESCIA;ROSSETTO TRADE S.R.L.;V. Mazzini, 97;SI;;3400;3957;7357;45.5142302252307;10.297283423751166;672
RODENGO-SAIANO;BRESCIA;(FRANCIACORTA RETAIL S.R.L.DEGI FRANCIA S.R.L.);Localita Moie;SI;;0;24551;24551;45.5774683164888;10.118960036471075;5113
ROE' VOLCIANO;BRESCIA;SOCIETA' SAN MARCO S.R.L.;Via Marconi  56/58;SI;;3750;3250;7000;45.62599801566919;10.497872031005897;12185
RONCADELLE;BRESCIA;B.B.C. S.R.L.;S.S. 11 - Loc. Mandolossa;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;2990;2990;45.549409463274905;10.136884761048742;5115
RONCADELLE;BRESCIA;CONSORZIO OPERATORI C.C. LE RONDINELLE;Via Mattei, 37/39;SI;;5533;20485;26018;45.53452648422432;10.149319028472897;5116
RONCADELLE;BRESCIA;DECATHLON ITALIA S.R.L.;Via Mattei, 33/35;NO;ABBIGLIAMENTO E SCARPE;0;3700;3700;45.531524927022154;10.15411623175476;5117
RONCADELLE;BRESCIA;FAR S.N.C. DI SPADA VIRGILIO;Via Martiri D. Liberta', 23;NO;MOBILI E ACCESSORI CASE ARREDO;0;1953;1953;45.51814360553719;10.139568094782986;5118
RONCADELLE;BRESCIA;IKEA ITALIA RETAIL SRL - MELLA 2000 SRL;Via M. D'Antona E M. Biagi, 9;NO;MOBILI E ACCESSORI CASE ARREDO;90;18126;18216;45.52856066219122;10.173933655341896;5120
RONCADELLE;BRESCIA;RONCADELLE SHOPPING CENTRE S.R.L.;Via L. Einaudi N. 1;SI;;3240;59976;63216;45.53310090875156;10.164854204620383;13820
ROVATO;BRESCIA;GESTIONE CENTRI COMMERCIALI SPA;Via I? Maggio 36;NO;;4000;2500;6500;45.55907117881963;10.014423153896969;3833
ROVATO;BRESCIA;SMA S.P.A.;V. Rudone, 30;SI;;2415;3948;6363;45.56272947576337;9.994695296665318;3832
SALO';BRESCIA;G.S. SPA - ALICENTRO 2 SRL LOGIDIS ITALIA SRL;Via Montale 1-3-5;SI;;953;3073;4026;45.58694559926044;10.520261407852743;6077
SALO';BRESCIA;LA GALLERIA SRL - SMAFIN S.P.A.;V. Montessori, 1;SI;;765;1904;2669;45.601640394839094;10.516451506296521;6078
SAREZZO;BRESCIA;ESSELUNGA SPA;P.Le Europa;NO;;3353;0;3353;45.64572998728356;10.201049648788022;6677
SIRMIONE;BRESCIA;SQUASSABIA GROUP;Via Brescia 58;NO;MOBILI E ACCESSORI CASE ARREDO;0;1700;1700;45.46337485113007;10.599191772598862;2424
SONICO;BRESCIA;PASQUINI GIOVANNI PAOLO;Via Nazionale 36;NO;MOBILI E ACCESSORI CASE ARREDO;0;1638;1638;46.16681463751768;10.34985300761377;13116
VEROLANUOVA;BRESCIA;BREGOLI SPA;Via Delle Robinie;SI;;3500;8200;11700;45.31653285957236;10.073076525854932;10224
VEROLANUOVA;BRESCIA;ITALFRUTTA SPA;V. Circonvallazione, 29;NO;;1550;393;1943;45.333289879387834;10.080570044656;3968
VEROLANUOVA;BRESCIA;PROGETTO R.E.M. SRL;Via J,F,Kennedy Localita' Bettolino;SI;;4000;7700;11700;45.313234858622735;10.115193715493868;10888
VILLANUOVA SUL CLISI;BRESCIA;ITALMARK S.P.A.;Via Zanardelli, 79;NO;;3000;240;3240;45.604245417863915;10.459655506681239;12153
